ObjectId,Country,2023
1,"Afghanistan, Islamic Rep. of",1.956
2,Africa,1.485
3,Albania,2.122
4,Algeria,2.274
5,American Samoa,0.951
6,Americas,1.772
7,"Andorra, Principality of",2.786
8,Angola,1.175
9,Anguilla,1.116
10,Antarctica,0.48
11,Antigua and Barbuda,1.116
12,Argentina,1.519
13,"Armenia, Rep. of",2.258
14,"Aruba, Kingdom of the Netherlands",
15,Asia,1.778
16,Australia,0.86
17,Austria,2.572
18,"Azerbaijan, Rep. of",2.16
19,"Bahamas, The",1.688
20,"Bahrain, Kingdom of",2.261
21,Bangladesh,1.639
22,Barbados,
23,"Belarus, Rep. of",2.713
24,Belgium,2.409
25,Belize,1.813
26,Benin,1.466
27,Bhutan,1.751
28,Bolivia,2.202
29,Bosnia and Herzegovina,2.551
30,Botswana,0.731
31,Brazil,1.648
32,British Virgin Islands,
33,Brunei Darussalam,1.145
34,Bulgaria,2.614
35,Burkina Faso,1.556
36,Burundi,
37,Cabo Verde,2.165
38,Cambodia,1.256
39,Cameroon,1.088
40,Canada,2.368
41,Cayman Islands,1.757
42,Central African Rep.,1.018
43,Chad,1.382
44,Chile,0.846
45,"China, P.R.: Hong Kong",1.419
46,"China, P.R.: Macao",1.419
47,"China, P.R.: Mainland",1.843
48,Colombia,1.265
49,"Comoros, Union of the",1.33
50,"Congo, Dem. Rep. of the",1.331
51,"Congo, Rep. of",1.369
52,Cook Islands,0.255
53,Costa Rica,
54,Côte d'Ivoire,1.821
55,"Croatia, Rep. of",2.584
56,Cuba,1.942
57,Cyprus,1.866
58,Czech Rep.,2.478
59,Denmark,1.882
60,Djibouti,0.645
61,Dominica,1.116
62,Dominican Rep.,1.544
63,Ecuador,1.558
64,"Egypt, Arab Rep. of",2.011
65,El Salvador,1.646
66,"Equatorial Guinea, Rep. of",1.005
67,"Eritrea, The State of",
68,"Estonia, Rep. of",2.175
69,"Eswatini, Kingdom of",0.746
70,"Ethiopia, The Federal Dem. Rep. of",1.198
71,Europe,2.435
