Rank,Temperature,Date,Place name,Station no.,Lat,Lon
1,50.1,11-Jan-39,Wilcannia Post Office,46043,-31.56,143.37
2,49.7,10-Jan-39,Menindee Post Office,47019,-32.39,142.42
3,49.1,03-Jan-14,Walgett Airport AWS,52088,-30.04,148.12
1,48.8,07-Feb-09,Hopetoun Airport,77010,-35.72,142.36
2,48.1,07-Feb-09,Walpeup Research,76064,-35.12,142
3,47.9,20-Dec-19,Hopetoun Airport,77010,-35.72,142.36
3,47.9,20-Dec-19,Horsham Aerodrome,79100,-36.67,142.17
3,47.9,07-Feb-09,Avalon Airport,87113,-38.03,144.48
1,49.5,24-Dec-72,Birdsville Police Station,38002,-25.9,139.35
2,49.3,24-Dec-19,Birdsville Airport,38026,-25.9,139.35
3,49,13-Jan-13,Birdsville Airport,38026,-25.9,139.35
3,49,06-Dec-81,Birdsville Police Station,38002,-25.9,139.35
1,50.7,13-Jan-22,Onslow Airport,5017,-21.67,115.11
2,50.5,13-Jan-22,Roebourne Aero,4090,-20.76,117.16
2,50.5,13-Jan-22,Mardie,5008,-21.19,115.98
2,50.5,19-Feb-98,Mardie,5008,-21.19,115.98
1,50.7,02-Jan-60,Oodnadatta Airport,17043,-27.56,135.45
2,50.3,03-Jan-60,Oodnadatta Airport,17043,-27.56,135.45
3,49.9,19-Dec-19,Nullarbor,18106,-31.45,130.9
1,42.2,30-Jan-09,Scamander,92094,-41.46,148.26
2,41.9,30-Dec-19,Friendly Beaches,92114,-42,148.28
3,41.8,04-Jan-13,Hobart (Ellerslie Road),94026,-42.89,147.33
3,41.8,30-Jan-09,St Helens Aerodrome,92120,-41.34,148.28
1,48.3,02-Jan-60,Finke Post Office,15526,-25.58,134.57
1,48.3,01-Jan-60,Finke Post Office,15526,-25.58,134.57
3,47.9,25-Dec-19,Rabbit Flat,15666,-20.18,130.01
