Rank,Temperature,Date,Place name,Station no.,Lat,Lon
1,-23,29-Jun-94,Charlotte Pass (Kosciusko Chalet),71003,-36.43,148.33
2,-20.6,14-Aug-68,Charlotte Pass (Kosciusko Chalet),71003,-36.43,148.33
3,-19.6,20-Jul-10,Charlotte Pass (Kosciusko Chalet),71003,-36.43,148.33
1,-11.7,03-Jul-70,Falls Creek,83071,-36.87,147.28
1,-11.7,15-Jun-65,Omeo Comparison,83025,-37.1,147.6
3,-10.5,06-Aug-74,Falls Creek SEC,83037,-36.86,147.28
1,-7.5,17-Jul-76,Alice Springs Airport,15590,-23.8,133.89
2,-7,14-Jul-02,Uluru Rangers,15660,-25.36,131.02
3,-6.8,07-Jul-77,Tempe Downs,15557,-24.4,132.45
3,-6.8,04-Jul-77,Tempe Downs,15557,-24.4,132.45
1,-14.2,07-Aug-20,Liawenee,96033,-41.9,146.67
2,-13,30-Jun-83,Tarraleah Village,95018,-42.3,146.45
2,-13,30-Jun-83,Butlers Gorge,96003,-42.28,146.27
2,-13,30-Jun-83,Shannon HEC,96021,-42.05,146.75
1,-8.2,20-Jul-76,Yongala,19062,-33.03,138.75
2,-8.1,16-Jun-59,Yongala,19062,-33.03,138.75
3,-7.9,10-Jul-58,Yongala,19062,-33.03,138.75
1,-7.2,17-Aug-08,Eyre,11019,-32.25,126
2,-6.8,11-Aug-10,Eyre,11019,-32.25,126
3,-6.7,12-Jul-69,Booylgoo Spring,12008,-27.76,119.91
1,-10.6,12-Jul-65,Warwick (The Hermitage),41004,-28.21,152.1
1,-10.6,23-Jun-61,Stanthorpe (Leslie Parade),41095,-28.66,151.93
3,-9.4,15-Aug-79,Mitchell Post Office,43020,-26.49,147.98
3,-9.4,17-Jul-70,Stanthorpe (Leslie Parade),41095,-28.66,151.93
