"Category","Annual Mean","5-yr smooth"
1901,21.53,21.54
1902,21.53,21.44
1903,21.18,21.34
1904,21.1,21.26
1905,21.19,21.2
1906,21.86,21.17
1907,21.2,21.17
1908,20.84,21.21
1909,20.97,21.27
1910,21.39,21.33
1911,21.19,21.39
1912,21.7,21.43
1913,21.1,21.46
1914,21.99,21.47
1915,21.97,21.46
1916,21.36,21.44
1917,20.66,21.4
1918,21.16,21.36
1919,21.64,21.31
1920,21.21,21.28
1921,21.51,21.25
1922,21.27,21.24
1923,21.4,21.25
1924,20.99,21.28
1925,20.94,21.32
1926,21.66,21.35
1927,21.31,21.37
1928,21.75,21.37
1929,20.93,21.35
1930,21.53,21.32
1931,21.18,21.3
1932,21.41,21.29
1933,21.25,21.31
1934,21.36,21.35
1935,21.27,21.41
1936,21.55,21.47
1937,21.41,21.51
1938,21.92,21.53
1939,21.25,21.51
1940,21.53,21.47
1941,21.13,21.42
1942,21.71,21.36
1943,21.05,21.3
1944,21.34,21.26
1945,21.36,21.23
1946,21.06,21.2
1947,21.33,21.18
1948,21.21,21.15
1949,20.8,21.13
1950,21.05,21.1
1951,21.21,21.08
1952,21.2,21.07
1953,21.19,21.09
1954,21.24,21.15
1955,21.23,21.24
1956,20.71,21.34
1957,21.61,21.44
1958,21.73,21.52
1959,21.85,21.56
1960,21.01,21.56
1961,21.69,21.53
1962,21.57,21.48
1963,21.47,21.43
1964,21.41,21.41
1965,21.82,21.42
1966,21.1,21.45
1967,21.43,21.5
1968,21.24,21.53
1969,21.61,21.55
1970,21.48,21.53
1971,21.35,21.48
1972,21.78,21.42
1973,22.08,21.37
1974,20.96,21.34
1975,21.39,21.37
1976,20.96,21.44
1977,21.58,21.55
1978,21.34,21.67
1979,21.94,21.77
1980,22.31,21.83
1981,21.86,21.84
1982,21.67,21.82
1983,21.96,21.77
1984,21.24,21.73
1985,21.77,21.71
1986,21.77,21.72
1987,21.73,21.77
1988,22.32,21.83
1989,21.54,21.9
1990,22.03,21.95
1991,22.2,21.97
1992,21.67,21.96
1993,21.91,21.93
1994,21.84,21.9
1995,21.68,21.86
1996,22.03,21.82
1997,21.72,21.8
1998,22.32,21.8
1999,21.81,21.81
2000,21.45,21.83
2001,21.47,21.87
2002,22.16,21.92
2003,22.12,21.98
2004,21.99,22.03
2005,22.47,22.05
2006,21.83,22.04
2007,21.98,21.99
2008,21.7,21.91
2009,22.11,21.83
2010,21.48,21.78
2011,21.44,21.78
2012,21.75,21.87
2013,22.72,22.04
2014,22.53,22.24
2015,22.33,22.44
2016,22.41,22.61
2017,22.48,22.68
2018,22.49,22.66
2019,22.78,22.56
2020,22.56,22.39
2021,22.05,22.18
2022,21.96,21.95
